Article ID,Title,Authors,Year,Journal,Source Database,Boolean Pass,Boolean Fail Reason,Semantic Score,Screening Status,Decision Reason,URL
pubmed_42251388,"Analysis of the effect of primaquine dose on efficacy, safety, and tolerability in patients with Plasmodium vivax malaria in Ethiopia: a systematic review and individual patient data meta-analysis.","Tamiru Shibiru Degaga, Kamala Thriemer, Megha Rajasekhar, Tesfay Abreha, Ashenafi Assefa, Nicholas M Douglas, Endalamaw Gadisa, Asrat Hailu, Jimee Hwang, Gavin C K W Koh, Marcus V G Lacerda, Alejandro Llanos-Cuentas, Daniel Abebe Mekonnen, Julie A Simpson, Fitsum G Tadesse, Walter R J Taylor, Lorenz von Seidlein, Adugna Woyessa, Asnakew K Yeshiwondim, Daniel Yilma, Ric N Price, Gudissa Assefa Bayissa, Robert J Commons",2026,Malaria journal,EPHI (PubMed),True,,0.5773,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42251388/
pubmed_42376620,"Risk Perceptions and Acceptability of Genetically Modified Mosquitoes for Malaria Control in Mali, 2025.","Samba Diarra, Abou Sogodogo, Sarah Hartley, Seydou Doumbia",2026,Open research Africa,PubMed,True,,0.5604,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42376620/
pubmed_41889897,Functional validation of the Plasmodium falciparum K13 C580Y mutation in recently collected Ethiopian isolates.,"Angana Mukherjee, Ashenafi Bahita Assefa, Christopher V Turlo, Lisa Checkley Needham, Douglas Shoue, Tarrick Qahash, Mahlet Belachew, Dagimawie Tadesse, Enirsie Kassie, Mulu Berihun, Bokretsion G Brhane, Jonathan B Parr, Michael T Ferdig, Sisay Adane, Adisu Tesfaye, Jenna Zuromski, Abebe A Fola, Geremew Tasew, Getachew Tollera, Jonathan J Juliano, Jeffrey A Bailey",2026,bioRxiv : the preprint server for biology,EPHI (PubMed),True,,0.5492,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/41889897/
ajol_212060,"Assessment of the knowledge, attitude and practices of prescribers regarding malaria diagnosis: a cross sectional study among Ghanaian prescribers","James Kojo Prah, Atta Yeboah-Sarpong, Richard Pinkrah, Elias Ewudzi-Acquah",2019,Pan African Medical Journal,AJOL,True,,0.542,Included,Passed all criteria,https://www.ajol.info/index.php/pamj/article/view/212060
pubmed_42381195,Building a Malaria Intelligence System for Real-Time Prediction and Data-Driven Intervention Planning.,Sharon Muzaki,2026,Journal of medical Internet research,PubMed,True,,0.5415,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42381195/
pubmed_42379202,"Incidence of symptomatic Lassa virus infection in West African countries (Enable 1.0 Lassa Research Study): a prospective, multisite, cohort study.",,2026,The Lancet. Global health,PubMed,True,,0.5392,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42379202/
pubmed_41890835,Recurrent parasitemias with artemisinin partial resistance mutations during the 2024 Ethiopia malaria resurgence: a case series.,"Dessalegn Geleta, Bokretsion G Brhane, Adugna Abera, Mahlet Belachew, Heven Sime, Atsbeha Gebreegziaxher, Melak Getu, Abraham Ali, Neamin Tesfaye, Medhanye Habtetsion, Belayneh Kokobe, Mandefro Kebede, Zemene Worku, Geremew Tasew, Gemechu Tadesse, Getachew Tollera, Abebe A Fola, Jeffrey A Bailey, Jonathan J Juliano, Jonathan B Parr, Melkamu Abte, Ashenafi Assefa",2026,Research square,EPHI (PubMed),True,,0.5266,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/41890835/
pubmed_42363266,Portable experimental hut tents (PEHTs): a conceptual framework for improved malaria vector control decision-making with a review of fixed experimental hut sites in Africa.,"Richard M Oxborough, Trishan Wickramasinghe, Nikita Gopakumar, Michael Fong, Abdul Rahim Mohammed Sabtiu, Whitney A Qualls, Joseph W Diclaro, Jaslyn Stamey, Rui-de Xue, Yafet Tiruha, Thomas S Churcher, Seungman Park, Yaw Afrane, Louisa A Messenger",2026,Parasites & vectors,PubMed,True,,0.5256,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42363266/
pubmed_42396518,Malaria prevalence and molecular markers of Plasmodium falciparum antimalarial drug resistance among mobile populations in malaria-endemic countries: A systematic review and meta-analysis.,"Alex Mwesigwa, Dianah Fatima, Bienvenu Nsengimaana, Emmanuel Arineitwe, Alison A Kinengyere, Arthur Mpimbaza, Pauline Byakika-Kibwika, Sam M Mbulaiteye, Philip J Rosenthal, Samuel L Nsobya",2026,Research square,PubMed,True,,0.5241,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42396518/
pubmed_42363010,Slowing the spread of treatment failure to artemisinin-based combination therapies in Uganda.,"Tran Dang Nguyen, Robert J Zupko, Melissa D Conrad, Gerald B Rukundo, Carter C Farinha, Victor D Asua, Kien Trung Tran, Deborah M Grace, Philip J Rosenthal, Bosco B Agaba, Moses R Kamya, Jimmy Opigo, Maciej F Boni",2026,Nature communications,PubMed,True,,0.5172,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42363010/
pubmed_42388835,Spatial and temporal associations between animal ownership and malaria prevalence in Africa using cross-sectional national Demographic and Health Surveys.,"Hillary M Topazian, Camille E Morgan, Varun Goel",2026,"One health (Amsterdam, Netherlands)",PubMed,True,,0.5025,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42388835/
pubmed_42396318,Survival differences and artemisinin resistance in severe malaria among HIV coinfected patients: data from Mozambique.,"Irina Mendes de Sousa, Erin McArthur, Lúcia Chambal, Kevan Akrami, Annie N Cowell, Titos Buene, Robert T Schooley, Bharti Ajay, Constance A Benson, Ana Paula Arez, Marcelo U Ferreira, Elizabeth A Winzeler, Emília V Noormahomed",2026,medRxiv : the preprint server for health sciences,PubMed,True,,0.4835,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42396318/
pubmed_41933334,"Fatal and non-fatal health outcomes of malaria among reproductive age women in Eastern Sub-Saharan Africa, from 1990 to 2023.","Sebsibe Tadesse, Wolyu Korma, Abdulbasit Sherfa, Jemal Bedewi, Embay Amare Alemseged, Yonas Angaw, Lechisa Assefa, Yohannes Fekadu, Girma Ashenafi, Debela Tsegaye, Tibeso Gemechu",2026,Malaria journal,EPHI (PubMed),True,,0.4763,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/41933334/
pubmed_42376904,Validation of Health Belief Model and Theory of Planned Behaviour Constructs for Predicting Malaria Vaccine Acceptance in Ghana: A Partial Least Squares Structural Equation Modelling Approach.,"Michael Sarfo, Michael Snowden, Jamie P Halsall",2026,Tropical medicine & international health : TM & IH,PubMed,True,,0.45,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42376904/
pubmed_42380856,"Clinical malaria recurrence and associated factors in infancy following IPTp-DP versus IPTp-SP in Busia, Uganda; a secondary analysis using the Conditional Frailty model.","Edward Ikoona, Adoke Yeka, Charles Natuhamya, Samuel Munyole, Fiona Agweng, Paul Mubiri, Josephine Tumuhamye, John Ssenkusu",2026,Malaria journal,PubMed,True,,0.4418,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42380856/
pubmed_41928206,Genetic variation in the Duffy blood group among vivax malaria patients and its impact on disease susceptibility.,"Meshesha Tsigie, Léa Baldor, Lionel Brice Feufack-Donfack, Tassew Tefera Shenkutie, Nimol Khim, Daniel Melese, Adugna Abera, Feven Girmachew, Sindew M Feleke, Alemnesh Hailemariam, Geremew Tasew, Getachew Tollera, Mesay Hailu, Jean Popovici, Abnet Abebe, Eugenia Lo",2026,Malaria journal,EPHI (PubMed),True,,0.4376,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/41928206/
pubmed_42350554,Spatial and temporal signatures of genomic insecticide resistance in the Anopheles arabiensis mosquito malaria vector from Ethiopia.,"Araya Eukubay, Kelly L Bennett, Habte Tekie, Anastasia Hernandez-Koutoucheva, Fekadu Gemechu, Alistair Miles, Deriba Abera, Chris S Clarkson, Lemu Golassa",2026,Scientific reports,EPHI (PubMed),True,,0.3936,Excluded,Low semantic relevance (0.3936 < 0.4),https://pubmed.ncbi.nlm.nih.gov/42350554/
pubmed_42366410,"Trypanosome circulation in hematophagous flies in livestock-rearing areas of southern Benin: prevalence, species diversity, and associations with vertebrate hosts.","Zul-Kifl Affolabi, Razaki A Ossè, Prudenciène A Agboho, Minassou Juvénal Ahouandjinou, Linda Towakinou, Sabbas Attindéhou, Rock Aïkpon, Ghislain Tepa-Yotto, Filémon Tokponnon, Martin Akogbeto",2026,Tropical medicine and health,PubMed,True,,0.3758,Excluded,Low semantic relevance (0.3758 < 0.4),https://pubmed.ncbi.nlm.nih.gov/42366410/
pubmed_41929037,"MaRNAV-1, an intracellular virus of Plasmodium vivax, is associated with increased parasite transmission and altered host immune response.","Dynang Seng, Katie Ko, Agnes Orban, Sokleap Heng, Lionel Brice Feufack-Donfack, Janne Grünebast, Nisa Ya, Franck Dumetz, Kieran Tebben, Tiziano Vignolini, Gregory Dore, Nimol Khim, Jeremy Salvador, Zainab Ouaid, Thierry Lefèvre, Anna Cohuet, Cecile Sommen, Claude Flamand, Anthony A Ruberto, Abnet Abebe, Meshesha Tsigie, Geremew Tasew, Getachew Tollera, Benoit Malleret, Tassew Tefera Shenkutie, Eugenia Lo, Nicholas M Anstey, Mary E Petrone, Tineke Cantaert, Sebastian Baumgarten, David Serre, Jean Popovici",2026,bioRxiv : the preprint server for biology,EPHI (PubMed),True,,0.3661,Excluded,Low semantic relevance (0.3661 < 0.4),https://pubmed.ncbi.nlm.nih.gov/41929037/
pubmed_42361009,Integrated in silico and in vivo larvicidal evaluation of compounds targeting juvenile hormone for malaria vector control.,"Eric Kibagendi Osoro, Adeniyi Ayinde Abdulwahab, Florence Ezinwa Nkemehule, Adedoyin John-Joy Owolade, Micheal Abimbola Oladosu, Wilberforce K Ndarawit, Daramola Oluwasegun Oluwatobiloba, Moses Adondua Abah, Fidelis Ngugi, Njogu M Kimani, Damilola Samuel Bodun",2026,PloS one,PubMed,True,,0.3652,Excluded,Low semantic relevance (0.3652 < 0.4),https://pubmed.ncbi.nlm.nih.gov/42361009/
ajol_203578,"Placental Malaria histological features and the burden of congenital malaria among HIV/ malaria co-infected mothers in Benin City, Edo State","Fidelis E. Eki-udoko, Ayebo Sadoh, Michael O. Ibadin, Augustine I.  Omoigberale",2021,Nigerian Journal of Paediatrics,AJOL,True,,0.3588,Excluded,Low semantic relevance (0.3588 < 0.4),https://www.ajol.info/index.php/njp/article/view/203578
pubmed_42371738,Characterization of Clinical Diagnoses at a Community Telehealth Platform in Uganda.,"Flavian Otieno, Daniel Mwanga, Ashiraf Mawanda, Louis Kamulegeya, John Mark Bwanika, Damazo Kadengye, Agnes Kiragga",2026,Telemedicine journal and e-health : the official journal of the American Telemedicine Association,PubMed,True,,0.3569,Excluded,Low semantic relevance (0.3569 < 0.4),https://pubmed.ncbi.nlm.nih.gov/42371738/
pubmed_42367931,Pfcrt copy number amplification detected in a Plasmodium falciparum outbreak.,"Anjana Rai, Chiyun Lee, Hidayat Trimarsanto, Ashley Osborne, Kian Soon Hoon, Jacob Af Westaway, Giri S Rajahram, June Haidee Acuña-Lariosa, Maria Lourdes M Macalinao, Jennifer Luchavez, Dave Tangcalagan, Sherwin Galit, Anisah Jantim, Kim A Piera, Fe Esperanza Espino, Timothy William, David Fidock, Dominic P Kwiatkowski, Nicholas M Anstey, Bridget E Barber, Richard D Pearson, Matthew J Grigg, Sarah Auburn",2026,bioRxiv : the preprint server for biology,PubMed,True,,0.3518,Excluded,Low semantic relevance (0.3518 < 0.4),https://pubmed.ncbi.nlm.nih.gov/42367931/
pubmed_42370240,Gain-of-function PfAAT1 mutations compensate for impaired PfCRT function in Plasmodium falciparum.,"Daniel Goldberg, Muhammad Hasan, Eva Istvan, Jack Farah, Kharizta Wiradiputri, Sydney Gavula, Elizabeth Winzeler, Manuel Llinás, David Fidock",2026,Research square,PubMed,True,,0.3517,Excluded,Low semantic relevance (0.3517 < 0.4),https://pubmed.ncbi.nlm.nih.gov/42370240/
pubmed_42388884,Assessment of Bedside-Adaptable Models to Predict Molecular Sepsis Subtypes in a Resource-Limited Setting: A Multicenter Analysis from Uganda.,"Barnabas Bakamutumaho, Julius J Lutwama, Nicholas Owor, Xuan Lu, Peter James Eliku, Joyce Namulondo, John Kayiwa, Jesse E Ross, Christopher Nsereko, John Bosco Nsubuga, Joseph Shinyale, Ignatius Asasira, Tonny Kiyingi, Steven J Reynolds, Kai Nie, Seunghee Kim-Schulze, Matthew J Cummings",2026,medRxiv : the preprint server for health sciences,PubMed,True,,0.3163,Excluded,Low semantic relevance (0.3163 < 0.4),https://pubmed.ncbi.nlm.nih.gov/42388884/
pubmed_42379150,Nineteenth-Century British West Indies Soldiers Were Not Intrinsically Resistant to Disease Mortality in West Africa.,G Dennis Shanks,2026,The American journal of tropical medicine and hygiene,PubMed,True,,0.2069,Excluded,Low semantic relevance (0.2069 < 0.4),https://pubmed.ncbi.nlm.nih.gov/42379150/
scopus_85198765432,Systematic evaluation of Natural Language Processing techniques for health policy reviews in developing nations,"Müller, H., Negash, S.",2023,BMC Medical Informatics and Decision Making (Scopus Indexed),Scopus,False,Does not mention malaria/vector keywords,0.0,Excluded,Does not mention malaria/vector keywords,https://www.scopus.com/inward/record.uri?scp=85198765432
ajol_10754,The Eyes Have It: findings in the optic fundus correspond to cerebral pathology in fatal malaria, Blantyre Malaria Project and Malawi-Liverpool-Wellcome Trust,2002,Malawi Medical Journal,AJOL,False,Published outside range (Year: 2002),0.0,Excluded,Published outside range (Year: 2002),https://www.ajol.info/index.php/mmj/article/view/10754
ajol_64316,Laboratory diagnosis of malaria in children under five years in a rural community: microscopy versus malaria PF test,"CP Enwuru, SI Umeh, UM Abasi, RC Egbuobi",2011,African Journal of Clinical and Experimental Microbiology,AJOL,False,Published outside range (Year: 2011),0.0,Excluded,Published outside range (Year: 2011),https://www.ajol.info/index.php/ajcem/article/view/64316
ajol_99253,Comparing Haemozoin count and Parasitaemia in the Prognosis of severe Plasmodium Falciparum Malaria in Children and non-immune adults in Kano-Nigeria,"AG Abubakar, F Sarkinfada, AH Kwaru, SG Ahmed",2013,Bayero Journal of Pure and Applied Sciences,AJOL,False,Published outside range (Year: 2013),0.0,Excluded,Published outside range (Year: 2013),https://www.ajol.info/index.php/bajopas/article/view/99253
ajol_236169,"Economic analysis of malaria affected farming households in Kabba-Bunnu Area of Kogi State, Nigeria","A.B.  Mohammed, M.O.  Adewumi, O.A.  Mokuolu",2016,Journal of Agriculture and Environment,AJOL,False,No Sub-Saharan Africa or LMIC geographic keywords found,0.0,Excluded,No Sub-Saharan Africa or LMIC geographic keywords found,https://www.ajol.info/index.php/jagrenv/article/view/236169
ajol_59879,Malaria in pregnancy,"E Okpere, E.J Enabudoso, A.P Osemwenkha",2010,Nigerian Medical Journal,AJOL,False,Published outside range (Year: 2010),0.0,Excluded,Published outside range (Year: 2010),https://www.ajol.info/index.php/nmj/article/view/59879
who_iris_dc9a8577-c1cf-4fdf-b583-9d908251c148,"Malaria, including proposal for establishment of Malaria Day","World Health Assembly, 60",2007,World Health Organization,WHO IRIS,False,Published outside range (Year: 2007),0.0,Excluded,Published outside range (Year: 2007),https://iris.who.int/handle/10665/22591
who_iris_efb8e3db-f453-4284-b909-7a1c7dded96d,Global malaria control. WHO Malaria Unit.,,1993,World Health Organization,WHO IRIS,False,Published outside range (Year: 1993),0.0,Excluded,Published outside range (Year: 1993),https://iris.who.int/handle/10665/261676
who_iris_a9b7305e-ee9c-4741-969c-c5ae9a6f7e7a,Malaria,"Regional Committee for the Western Pacific, 067",2016,WHO Regional Office for the Western Pacific,WHO IRIS,False,No Sub-Saharan Africa or LMIC geographic keywords found,0.0,Excluded,No Sub-Saharan Africa or LMIC geographic keywords found,http://iris.wpro.who.int/handle/10665.1/13450
who_iris_bab0f016-f8b1-4e06-8c31-3de376043835,Malaria case management Plasmodium vivax malaria: a field guide,World Health Organization,2026,World Health Organization,WHO IRIS,False,No Sub-Saharan Africa or LMIC geographic keywords found,0.0,Excluded,No Sub-Saharan Africa or LMIC geographic keywords found,https://iris.who.int/handle/10665/384936
who_iris_5f6872bb-f0f8-4f1a-bf83-6a80e5b9e5f8,Malaria: recommendations to governments on measures advised for malaria control,"Executive Board, 3",1949,World Health Organization,WHO IRIS,False,Published outside range (Year: 1949),0.0,Excluded,Published outside range (Year: 1949),https://iris.who.int/handle/10665/113027
who_iris_6d7c42b3-973a-48d8-9b29-b99770a710fe,Towards a malaria-free world: elimination of malaria in Uzbekistan,World Health Organization,2023,World Health Organization,WHO IRIS,False,No Sub-Saharan Africa or LMIC geographic keywords found,0.0,Excluded,No Sub-Saharan Africa or LMIC geographic keywords found,https://iris.who.int/handle/10665/375819
who_iris_4fdf5d1c-a766-4e64-9b25-1ab8d70aae9b,Towards a malaria-free world: elimination of malaria in Kyrgyzstan,World Health Organization,2023,World Health Organization,WHO IRIS,False,No Sub-Saharan Africa or LMIC geographic keywords found,0.0,Excluded,No Sub-Saharan Africa or LMIC geographic keywords found,https://iris.who.int/handle/10665/373639
pubmed_42035133,Ovicidal and larvicidal activity of the Impatiens rothii and Salvia officinalis extracts against Anopheles stephensi (Culicidae: Diptera) in laboratory conditions.,"Teresa Beyena, Kidane Lelisa, Belayhun Mendefro",2026,Malaria journal,EPHI (PubMed),False,No Sub-Saharan Africa or LMIC geographic keywords found,0.0,Excluded,No Sub-Saharan Africa or LMIC geographic keywords found,https://pubmed.ncbi.nlm.nih.gov/42035133/
